donor_id	group	dataset	tissue	M1	M2	M3	M4	ssc_tier1
SC69	SSc	tabib2021	skin	0.2101	0.1294	-0.1808	-0.309	-0.0406
SC70	SSc	tabib2021	skin	0.2498	0.2166	-0.0446	-0.3837	-0.1135
SC86	SSc	tabib2021	skin	0.2171	0.2777	-0.1109	-0.2145	-0.1405
SSc1	SSc	gse210395	pbmc	0.6592	0.0737	-0.2325	-0.3628	-0.1955
SSc2	SSc	gse210395	pbmc	0.8706	-0.0447	-0.3284	-0.3873	-0.2056
SSc3	SSc	gse210395	pbmc	0.6481	0.0094	-0.2609	-0.3639	-0.1564
SSc4	SSc	gse210395	pbmc	0.7301	0.0641	-0.2946	-0.4845	-0.1798
pt01001	SSc	gse195452	skin_gur	0.3607	-0.0752	-0.4984	-0.2423	0.0482
pt01002	SSc	gse195452	skin_gur	0.1749	0.0829	-0.5178	-0.243	0.0677
pt01003	SSc	gse195452	skin_gur	0.2898	-0.0228	-0.2797	-0.1707	-0.0139
pt01004	SSc	gse195452	skin_gur	0.4532	0.0222	-0.4777	-0.3514	-0.0134
pt01005	SSc	gse195452	skin_gur	0.291	0.0077	-0.4507	-0.2011	0.0221
pt01006	SSc	gse195452	skin_gur	0.3219	-0.0831	-0.4903	-0.1783	0.0545
pt01007	SSc	gse195452	skin_gur	0.212	0.055	-0.3383	-0.2118	0.0124
pt01008	SSc	gse195452	skin_gur	0.2682	-0.1955	-0.2369	-0.0498	0.0332
pt01009	SSc	gse195452	skin_gur	0.1408	-0.0338	-0.5207	-0.1409	0.1086
pt01010	SSc	gse195452	skin_gur	0.2964	-0.0199	-0.4393	-0.1619	0.0274
pt01011	SSc	gse195452	skin_gur	0.2207	0.0309	-0.3855	-0.2609	0.0431
pt01012	SSc	gse195452	skin_gur	0.1102	-0.0401	-0.1149	-0.0613	0.0054
pt01013	SSc	gse195452	skin_gur	0.6201	0.0514	-0.2656	-0.1818	-0.1851
pt01014	SSc	gse195452	skin_gur	0.208	-0.0116	-0.3886	-0.2731	0.0619
pt01016	SSc	gse195452	skin_gur	0.1997	-0.0223	-0.3606	-0.1383	0.039
